,Crude Rate Homicide,Firearm homicide rate,Suicide firearm rate 
1993,7.02,6.75,7.34
1994,6.66,6.45,7.18
1995,5.84,5.69,6.99
1996,5.21,5.1,6.79
1997,4.86,4.77,6.48
1998,4.28,4.21,6.34
1999,3.88,3.82,5.96
2000,3.84,3.79,5.9
2001,3.98,3.93,5.9
2002,4.11,4.07,5.92
2003,4.11,4.07,5.77
2004,3.97,3.94,5.65
2005,4.18,4.17,5.66
2006,4.29,4.27,5.54
2007,4.19,4.2,5.63
2008,4.01,4.03,5.82
2009,3.75,3.78,5.91
2010,3.59,3.62,6.06
2011,3.55,3.59,6.15
2012,3.7,3.75,6.29
2013,3.54,3.6,6.37
2014,3.43,3.5,6.34